ea,src,dst,sign,type,evidence_quote,coder,notes
EA 017,tusratta,udhi,-,accuse,"did some unseemly deeds in my land and slew his lord",claude/rainey-pass2,
EA 073,ribhadda,abdiasirta,-,accuse,"he has said to the men of the town of Ammiya: 'Kill your lad'",claude/rainey-pass2,
EA 075,ribhadda,abdiasirta,-,accuse,"intense is the hostility... He has seized [the hill co]untry",claude/rainey-pass2,Rainey reads Miya as VICTIM ('th[ey] too[k] Miya') - no Miya edge in this pass
EA 076,ribhadda,abdiasirta,-,accuse,"the hostility of [ʿAb]di-[Ashirta]... the capture of the town of Bit-Ar[ḫa]",claude/rainey-pass2,
EA 081,ribhadda,abdiasirta,-,accuse,"the hostility of ʿAbdi-Ashirta... A man attacked me with a bronze dagger",claude/rainey-pass2,
EA 085,ribhadda,abdiasirta,-,accuse,"three times he has attacked me this year",claude/rainey-pass2,
EA 089,ribhadda,people-of-tyre,-,accuse,"they killed their city ruler with my sister and her children",claude/rainey-pass2,ʿAbdi-Aširta sea-taking not surfaced in this pass
EA 101,ribhadda,people-of-arwada,-,accuse,"whose ships have been hostile to me, is it not the men of the city of Arwad?",claude/rainey-pass2,
EA 101,ribhadda,haya,-,accuse,"who is hostile [to] the king? Is it not Ḫaya?",claude/rainey-pass2,Rainey-only edge; also reads the letter as urging ʿAbdi-Aširta's killing (future) vs Moran's past tense
EA 109,ribhadda,sons-of-abdiasirta,-,accuse,"the sons of ʿAbdi-Ashirta, the [sl]ave, the dog, [have taken] the cities of the king",claude/rainey-pass2,
EA 113,ribhadda,yappahhadda,-,accuse,"Yapaʿ-Haddi has co[mmi]tted a crime",claude/rainey-pass2,
EA 114,ribhadda,aziru,-,accuse,"Aziru is hostile to me and he has seized twelve of my men... a ransom... fifty (shekels of) silver",claude/rainey-pass2,
EA 114,ribhadda,yappahhadda,-,accuse,"Yapaʿ-Haddi is hostile to me along with Aziru... he has seized my ship",claude/rainey-pass2,
EA 116,ribhadda,sons-of-abdiasirta,-,accuse,"[the sons of] ʿAbdi-Ashirta have fallen up<on> our garrison and they have seized it",claude/rainey-pass2,
EA 116,ribhadda,yappahhadda,-,accuse,"[Yapaʿ]-Haddi [plots] evil",claude/rainey-pass2,
