polity,coastal,hatti_aligned,evidence
Byblos,yes,no,"Coastal city; Rib-Hadda dossier is the loyalist pole"
Tyre,yes,no,"Island/coastal city (Abi-Milku)"
Sidon,yes,accused,"Coastal; Zimreddi accused by Abi-Milku of joining Aziru's side: EA 148-149"
Beirut,yes,no,"Coastal (Ammunira)"
Akka,yes,no,"Coastal (Surata, Satatna)"
Ashkelon,yes,no,"Coastal (Yidyia, Šubandu)"
Ashdod,yes,no,"Coastal (Yahtiru)"
Ugarit,yes,no,"Coastal; quasi-independent, no Amarna-window defection attested"
Irqata,yes,no,"Tell Arqa, ~6 km from coast; loyalist (EA 100)"
Gimtu,no,no,"Inland Shephelah (Šuwardata)"
Gazru,no,no,"Inland (Milkilu, Yapahu, Adda-danu)"
Lakiša,no,no,"Inland Shephelah"
Jerusalem,no,no,"Inland hill country (Abdi-Heba)"
Megiddo,no,no,"Inland, Jezreel (Biridiya)"
Šakmu,no,no,"Inland hill country (Labayu)"
Hazor,no,no,"Inland, upper Galilee"
Gintikirmil,no,no,"Carmel hinterland (Tagi), ~15 km from coast"
Damascus,no,no,"Inland (Biryawaza, loyalist)"
Qatna,no,no,"Inland; Akizzi loyal, pleading against Hatti: EA 53-55"
Qadesh,no,yes,"Inland Orontes; Etakkama went over to Hatti: EA 174-176, EA 363 (neighbors' accusations), EA 189 (his own defense)"
Kumidu,no,no,"Inland Beqaa; Egyptian commissioner seat"
Tunip,no,no,"Inland Orontes; EA 59 pleads FOR Egyptian presence"
Aštartu,no,no,"Inland, Bashan (Ayyab)"
Pihilu,no,no,"Inland, Jordan valley (Mut-Bahlu)"
